Designator,Mid X,Mid Y,Rotation,Layer
C1,106.86227,-115.629814,0.0,top
C2,106.91,-101.37,0.0,top
C3,106.44,-128.11,180.0,bottom
J2,85.805,-105.625,180.0,bottom
J3,87.7,-132.285,0.0,bottom
J4,99.325,-137.375,180.0,bottom
J5,94.55,-102.98,0.0,bottom
J6,94.55,-132.28,0.0,bottom
R1,91.695,-91.065,90.0,top
R10,98.47,-99.87,90.0,top
R11,98.34,-120.08,90.0,top
R12,91.65,-137.975,270.0,top
R13,91.64,-142.14,90.0,top
R14,99.155,-127.765,180.0,top
R15,99.805,-123.885,270.0,top
R2,98.47,-91.51,270.0,top
R3,98.47,-95.68,270.0,top
R4,98.47,-108.03,270.0,top
R5,83.4525,-91.805,270.0,top
R6,91.05,-120.85,270.0,top
R7,91.05,-126.925,270.0,top
R8,91.05,-132.01,270.0,top
R9,83.845,-117.545,180.0,top
SWB1,105.245,-140.105,180.0,top
U1,105.1,-94.9,180.0,top
U2,105.025,-109.2146,180.0,top
U3,105.03,-123.295,180.0,top
